user_id,status,preferred_genres,preferred_artists,preferred_moods,preferred_tempo,recent_listening_level,recent_discovery_level,repeat_listening_ratio,new_artist_acceptance,personalization_strength,discovery_readiness,new_release_affinity
user_049,success,"ballad, pop, dance, acoustic","artist_l, artist_w","bright, soft, night",medium,low,high,0.19,0.12,high,high,low
user_050,success,indie,"artist_i, artist_s, artist_x","calm, night",fast,low,medium,0.18,0.01,high,low,medium
user_051,success,,,"night, energetic",medium,low,high,0.28,0.48,medium,low,low
user_052,success,"dance, rnb",,"energetic, calm, bright",slow,high,low,0.15,0.81,medium,low,low
user_053,success,,"artist_h, artist_t, artist_z","energetic, soft, night",slow,medium,medium,0.57,0.06,high,low,low
user_054,success,pop,,night,medium,high,low,0.16,0.41,high,high,medium
user_055,success,"rnb, indie","artist_j, artist_w","calm, night, energetic",slow,high,high,0.8,0.2,low,high,low
user_056,success,pop,artist_c,,medium,medium,high,0.75,0.57,medium,medium,low
user_057,success,"acoustic, pop, dance","artist_q, artist_r","energetic, calm, bright",medium,medium,high,0.32,0.25,low,low,high
user_058,success,"ballad, rnb, pop, dance",,energetic,slow,high,medium,0.92,0.18,high,medium,high
user_059,success,"rnb, dance, pop","artist_d, artist_k, artist_v",bright,fast,high,medium,0.29,0.95,high,low,medium
user_060,success,,"artist_i, artist_k",,fast,high,low,0.66,0.54,medium,low,low
user_061,success,"pop, ballad, dance, acoustic","artist_b, artist_g, artist_y","soft, night",fast,medium,high,0.48,0.03,high,high,low
user_062,success,pop,,"calm, night, soft",fast,low,high,0.83,0.5,high,medium,high
user_063,success,"dance, acoustic","artist_h, artist_o, artist_r",energetic,medium,high,high,0.75,0.14,low,medium,medium
user_064,success,"ballad, pop",,"bright, energetic",medium,medium,high,0.48,0.33,high,medium,medium
user_065,success,"indie, acoustic","artist_h, artist_n, artist_y",,fast,high,medium,0.71,0.81,medium,high,high
user_066,success,dance,,soft,slow,medium,low,0.87,0.44,high,medium,low
user_067,success,dance,artist_c,"bright, soft, energetic",slow,medium,high,0.08,0.33,high,high,medium
user_068,success,"acoustic, dance",,,medium,high,high,0.92,1,high,low,medium
user_069,success,,,"night, bright, calm",medium,medium,low,0.29,0.37,low,low,high
user_070,success,"ballad, indie, acoustic",artist_c,"soft, night, energetic",slow,low,low,0.46,0.25,medium,high,low
user_071,success,"pop, ballad, indie",,"bright, soft, energetic",fast,high,medium,0.46,0.3,medium,medium,low
user_072,success,dance,"artist_j, artist_s","calm, energetic",fast,low,high,0.87,0.78,low,high,high
user_073,success,"pop, indie, acoustic",artist_u,soft,fast,high,high,0.77,0.68,low,high,low
user_074,success,,"artist_o, artist_z",,slow,medium,high,0.13,0.91,medium,high,medium
user_075,success,indie,artist_z,"soft, bright",medium,medium,medium,0.97,0.3,medium,low,medium
user_076,success,,artist_y,energetic,slow,medium,low,0.79,0.01,high,low,medium
user_077,success,"acoustic, pop","artist_d, artist_l, artist_u",energetic,medium,high,high,0.33,0.61,high,low,high
user_078,success,"acoustic, pop, dance",,calm,medium,medium,medium,0.12,0.23,high,low,medium
user_079,success,"pop, ballad, dance",artist_n,,fast,high,medium,0.94,0.28,high,medium,low
user_080,success,"dance, indie, pop",,"soft, bright",medium,medium,medium,0.19,0.12,medium,low,high
user_081,success,acoustic,,,fast,low,low,0.79,0.21,high,low,high
user_082,success,indie,"artist_e, artist_y",,fast,low,low,0.54,0.8,low,high,low
user_083,success,rnb,"artist_h, artist_z","calm, night",fast,low,low,0.74,0.53,high,low,medium
user_084,success,"pop, ballad, rnb","artist_h, artist_q, artist_t",,slow,high,high,0.3,0.64,low,low,medium
user_085,success,"dance, rnb, acoustic","artist_c, artist_k, artist_t",calm,medium,medium,high,0.63,0.55,medium,medium,high
user_086,success,"pop, dance, ballad, rnb",,energetic,fast,low,medium,0.34,0.45,medium,high,low
user_087,success,"dance, pop","artist_e, artist_l","calm, soft, energetic",medium,medium,low,0.74,0.37,low,high,low
user_088,success,"ballad, acoustic, pop, dance",,"bright, energetic, soft",medium,medium,high,0.31,0.1,high,low,low
user_089,success,"indie, rnb, pop","artist_d, artist_y","soft, night",fast,high,high,0.61,0.64,low,high,high
user_090,success,"rnb, indie","artist_w, artist_y","bright, soft",medium,low,low,0.57,0.4,low,high,high
user_091,success,,,energetic,fast,medium,medium,0.16,0.31,medium,high,high
user_092,success,,,night,slow,low,high,0.08,0.44,medium,medium,high
user_093,success,"dance, pop, indie",,"energetic, calm",fast,high,high,0.59,0.53,medium,low,low
user_094,success,"ballad, rnb, acoustic",artist_j,night,fast,medium,medium,0.12,0.5,medium,low,low
user_095,success,"ballad, indie, pop",,"calm, energetic, soft",fast,low,medium,0.58,0.57,high,high,medium
user_096,success,"rnb, dance",,"night, energetic",slow,medium,low,0.44,0.11,medium,high,medium
user_097,success,"rnb, dance, pop, ballad","artist_h, artist_k",calm,slow,high,low,0.53,0.19,medium,medium,high
user_098,success,indie,,bright,medium,low,high,0.15,0.76,low,low,high
user_099,success,"dance, ballad, acoustic","artist_k, artist_u",energetic,medium,medium,medium,0.63,0.8,high,low,medium
user_100,success,"rnb, pop, dance, indie",,,fast,medium,low,0.64,0.98,low,high,high
user_101,success,"dance, acoustic, rnb, indie",artist_k,"soft, night, calm",fast,low,medium,0.98,0.08,high,low,low
user_102,success,acoustic,"artist_o, artist_q, artist_t",bright,fast,medium,medium,0.41,0.34,high,low,high
user_103,success,"rnb, pop",,"bright, soft, energetic",slow,high,low,0.33,0.58,low,medium,medium
user_104,success,"indie, ballad, rnb","artist_m, artist_r","night, calm",slow,high,medium,0.51,0.02,medium,low,low
user_105,success,"dance, indie",artist_e,calm,fast,low,high,0.77,0.84,high,low,high
user_106,success,"ballad, indie","artist_e, artist_f, artist_w",energetic,medium,medium,medium,0.68,0.24,medium,high,medium
user_107,success,"indie, ballad, acoustic","artist_p, artist_z",bright,slow,high,medium,0.46,0.28,medium,high,high
user_108,success,"indie, acoustic, ballad","artist_b, artist_u","bright, calm, soft",slow,low,medium,0.08,0.16,medium,high,low
user_109,success,"rnb, indie, dance","artist_a, artist_n",,fast,high,medium,0.24,0.99,medium,low,low
user_110,success,"rnb, pop",artist_e,,fast,medium,high,0.83,0.76,medium,medium,high
user_111,success,,,,fast,low,low,0.55,0.73,high,medium,low
user_112,success,"indie, pop",,,medium,medium,high,0.79,0.46,low,medium,high
user_113,success,"rnb, ballad, indie, pop",artist_j,"calm, bright, soft",slow,medium,low,0.66,0.09,medium,low,high
user_114,success,"ballad, acoustic, rnb, indie","artist_b, artist_m, artist_u","bright, calm",fast,low,medium,0.24,0.66,low,high,high
user_115,success,"indie, rnb","artist_k, artist_r",energetic,slow,medium,high,0.18,0.13,high,medium,low
user_116,success,"indie, rnb",artist_b,"bright, energetic",slow,medium,medium,0.04,0.65,medium,medium,low
user_117,success,"pop, rnb","artist_m, artist_n","energetic, bright, calm",fast,high,medium,0.37,0.8,medium,low,high
user_118,success,"rnb, dance, indie","artist_d, artist_k",,fast,high,medium,0.31,0.6,medium,low,high
user_119,success,"pop, dance, rnb","artist_n, artist_t","calm, soft",slow,high,medium,0.36,0.8,high,low,low
user_120,success,ballad,"artist_b, artist_c, artist_e",bright,fast,medium,high,0.03,0.15,medium,medium,medium
user_121,success,"rnb, ballad, indie","artist_k, artist_m","night, calm",medium,high,low,0.5,0.39,high,low,medium
user_122,success,"acoustic, dance",artist_t,"energetic, night",medium,low,low,0.45,0.9,medium,low,high
user_123,success,"acoustic, pop",,"bright, night",slow,high,high,0.64,0.79,high,low,low
user_124,success,indie,artist_z,"calm, bright, energetic",slow,medium,medium,0.8,0.55,high,low,low
user_125,success,"dance, acoustic","artist_n, artist_s, artist_y",,medium,medium,high,0.07,0.47,high,medium,low
user_126,success,"acoustic, ballad, indie, rnb","artist_b, artist_d, artist_q",bright,medium,low,medium,0.93,0.23,high,medium,low
user_127,success,"indie, ballad","artist_e, artist_u","soft, calm",slow,high,low,0.59,0.58,low,high,high
user_128,success,"pop, ballad, rnb, dance",,,slow,high,medium,0.65,0.77,medium,high,high
user_129,success,,"artist_j, artist_r, artist_u","energetic, night",slow,medium,medium,0.45,0.69,low,medium,medium
user_130,success,"dance, indie, pop",artist_k,"bright, energetic",medium,medium,high,0.56,0.32,medium,low,medium
user_131,success,"indie, acoustic, rnb",,"energetic, soft",medium,low,medium,0.93,0.72,low,low,medium
user_132,success,"dance, acoustic, pop, indie",,,fast,high,medium,0.97,0.22,medium,low,low
user_133,success,"dance, ballad","artist_a, artist_j, artist_r",,fast,low,medium,0.73,0.76,medium,low,medium
user_134,success,,artist_l,"calm, energetic",slow,medium,high,0.28,0.99,high,high,low
user_135,success,rnb,"artist_k, artist_l, artist_z","night, soft",slow,high,medium,0.5,0.05,low,high,medium
user_136,success,"ballad, dance, indie",artist_k,"night, energetic",slow,high,medium,0.59,0.51,high,high,medium
user_137,success,"pop, dance, rnb, indie","artist_d, artist_v","soft, bright, energetic",slow,high,low,0.6,0.27,high,high,high
user_138,success,acoustic,,"night, energetic, calm",slow,low,low,0.57,0.7,low,low,medium
user_139,success,"dance, indie","artist_g, artist_n, artist_w","calm, night, bright",medium,high,medium,1,0.48,medium,medium,low
user_140,success,"ballad, pop, acoustic","artist_p, artist_t",night,fast,high,medium,0.22,0.97,medium,medium,high
user_141,success,acoustic,"artist_k, artist_l, artist_p","bright, calm",slow,high,high,0.38,0.98,medium,low,medium
user_142,success,,"artist_c, artist_w","energetic, bright",slow,medium,low,0.2,0.54,high,high,medium
user_143,success,rnb,artist_h,,slow,high,low,0.64,0.05,medium,medium,high
user_144,success,"rnb, indie, acoustic",artist_n,"energetic, night, soft",fast,medium,high,0.06,0.77,high,high,low
user_145,success,"acoustic, rnb, indie, dance",artist_b,"energetic, night, bright",fast,low,low,0.3,0.6,medium,medium,medium
user_146,success,"ballad, dance, indie, pop","artist_g, artist_i, artist_z",,fast,low,high,0.46,0.26,low,low,high
user_147,success,"pop, ballad",artist_f,"energetic, bright, calm",fast,high,low,0.18,0.14,medium,low,low
user_148,success,"dance, indie","artist_i, artist_k, artist_y","soft, calm",fast,high,medium,0.69,0.06,low,medium,medium
user_149,success,dance,"artist_d, artist_w","bright, night",medium,low,medium,0.15,0.75,high,medium,medium
user_150,success,"dance, ballad, indie, rnb",,"soft, bright, calm",slow,low,low,0.83,0.9,low,high,high
user_151,success,indie,"artist_o, artist_q",,slow,low,high,0.58,0.09,high,medium,low
user_152,success,"indie, ballad, dance","artist_b, artist_r, artist_s","bright, calm, night",fast,low,high,0.22,0.07,medium,medium,high
user_153,success,,,,fast,low,medium,0.41,0.77,high,high,high
user_154,success,"pop, dance, ballad","artist_c, artist_m, artist_v",bright,medium,low,high,0.39,0.13,low,low,low
user_155,success,"dance, ballad","artist_h, artist_m, artist_r",energetic,fast,low,medium,0.19,0.88,low,low,high
user_156,success,"ballad, rnb, indie",artist_c,,slow,low,medium,0.6,0.7,low,low,high
user_157,success,,"artist_h, artist_o, artist_r",calm,medium,high,medium,0.23,0.92,high,medium,high
user_158,success,"acoustic, pop, indie, dance",artist_v,energetic,fast,medium,low,0.56,0.59,high,low,high
user_159,success,"ballad, dance, rnb","artist_u, artist_v","soft, bright, energetic",fast,medium,low,0.3,0.18,high,medium,low
user_160,success,pop,artist_z,"calm, energetic, night",slow,high,low,0.39,0.25,medium,high,low
user_161,success,"pop, rnb, indie",,"energetic, calm",medium,low,high,0.72,0.56,medium,low,medium
user_162,success,"rnb, indie",artist_x,,slow,medium,low,0.7,0.7,medium,low,high
user_163,success,"pop, dance","artist_l, artist_r, artist_u","bright, soft",slow,medium,medium,0.1,0.98,medium,medium,low
user_164,success,"pop, dance",,night,medium,medium,high,0.93,0.58,medium,medium,low
user_165,success,pop,artist_m,energetic,slow,high,high,0.34,0.76,medium,high,high
user_166,success,"dance, indie, pop",artist_e,"night, calm, bright",medium,low,high,0.05,0.01,low,high,low
user_167,success,,artist_a,soft,fast,medium,low,0.62,0.67,high,medium,high
user_168,success,"rnb, acoustic, dance",,,slow,high,medium,0.54,0.29,high,high,high
user_169,success,"indie, rnb, ballad",artist_h,soft,slow,medium,medium,0.27,0.4,medium,medium,medium
user_170,success,"indie, acoustic, pop, dance",,,medium,medium,medium,0.38,0.48,high,low,high
user_171,success,rnb,"artist_n, artist_u, artist_z","soft, calm",slow,low,low,0.21,0.87,high,medium,medium
user_172,success,,,"soft, calm",medium,medium,low,0.96,0.59,high,medium,low
user_173,success,"indie, ballad",artist_s,"soft, bright, night",slow,low,high,0.72,0.5,medium,low,low
user_174,success,"indie, rnb, pop","artist_a, artist_k, artist_y","energetic, soft",medium,medium,high,0.94,0.43,high,high,high
user_175,success,"rnb, ballad, pop",artist_w,,medium,medium,low,0.38,0.78,low,high,medium
user_176,success,"pop, rnb",,,fast,medium,medium,0.76,0.1,low,low,medium
user_177,success,"ballad, acoustic, dance",,,medium,medium,high,0.09,0.6,medium,medium,low
user_178,success,"dance, acoustic",,soft,slow,low,high,0.38,0.14,medium,medium,medium
user_179,success,rnb,artist_n,"energetic, bright",fast,low,medium,0.25,0.25,high,medium,high
user_180,success,"indie, dance, rnb, ballad","artist_a, artist_m","soft, energetic",fast,medium,medium,0.43,0.82,high,high,low
user_181,success,"pop, ballad",artist_p,"night, energetic",fast,medium,high,0.69,0.49,high,low,medium
user_182,success,"pop, dance, acoustic",,soft,slow,low,high,0.77,0.03,high,medium,high
user_183,success,dance,"artist_c, artist_w","energetic, night, bright",fast,low,medium,0.66,0.72,medium,low,medium
user_184,success,"dance, ballad, acoustic, pop","artist_b, artist_r, artist_z","soft, calm",medium,low,high,0.66,0.17,high,low,high
user_185,success,"pop, dance, rnb",,,fast,low,high,0.75,0.56,high,high,low
user_186,success,"pop, dance, ballad",artist_l,,fast,low,medium,0.42,0.96,low,high,low
user_187,success,"pop, acoustic","artist_g, artist_q, artist_z","bright, energetic, calm",fast,high,high,0.45,0.07,low,high,low
user_188,success,,"artist_d, artist_u",night,slow,low,high,0.16,0.56,medium,low,medium
user_189,success,indie,"artist_a, artist_m, artist_x",energetic,slow,medium,medium,0,0.21,medium,high,low
user_190,success,"rnb, ballad, indie, dance","artist_g, artist_o",,fast,high,medium,0.53,0.64,high,medium,high
user_191,success,"ballad, rnb, pop","artist_o, artist_t",bright,slow,high,low,0.67,0.31,low,medium,low
user_192,success,pop,artist_q,"energetic, night, bright",fast,medium,low,0.49,0.54,high,low,high
user_193,success,dance,"artist_e, artist_f","energetic, calm",fast,low,medium,0.14,0.82,high,high,high
user_194,success,"dance, acoustic, ballad","artist_c, artist_f, artist_p",,medium,medium,low,0.27,0.54,low,medium,high
user_195,success,"ballad, acoustic, rnb",,"soft, bright",slow,low,high,0.44,0.22,medium,low,high
user_196,success,pop,,"bright, soft, calm",fast,low,low,0.21,0.74,high,medium,high
user_197,success,"acoustic, dance, indie, pop",artist_z,night,medium,high,medium,0.53,0.6,low,medium,high
user_198,success,"pop, ballad","artist_q, artist_v",,medium,medium,low,0.99,0.87,low,high,low
user_199,success,indie,"artist_h, artist_y","energetic, night, bright",slow,medium,high,0.41,0.45,high,low,medium
user_200,success,"acoustic, pop, ballad, indie","artist_a, artist_k, artist_s",,slow,medium,high,0.66,0.36,low,high,medium
user_201,success,"rnb, dance",,calm,slow,medium,medium,0.65,0.74,low,low,high
user_202,success,,"artist_h, artist_b","energetic, calm, night",slow,medium,low,0.01,0.49,medium,low,low
user_203,success,"pop, dance, acoustic, rnb","artist_x, artist_l",,slow,high,low,0.26,0.52,medium,medium,medium
user_204,success,,"artist_s, artist_p, artist_z","calm, energetic",fast,medium,high,0.86,0.59,low,low,medium
user_205,success,"indie, dance","artist_d, artist_e, artist_q",soft,slow,low,low,0.34,0.46,medium,low,low
user_206,success,,,,medium,medium,low,0.9,0.5,low,high,low
user_207,success,"pop, acoustic, ballad",artist_s,"energetic, bright",fast,medium,low,0.72,0.83,low,low,low
user_208,success,"indie, dance, pop",artist_h,"night, bright",fast,low,high,0.3,0.22,medium,medium,high
user_209,success,rnb,,calm,slow,low,low,0.99,0.28,medium,low,high
user_210,success,"acoustic, indie, rnb","artist_g, artist_t, artist_s","soft, energetic, night",fast,high,medium,0.3,0.62,high,medium,medium
user_211,success,"rnb, dance",,,slow,high,low,0.39,0.54,low,high,medium
user_212,success,ballad,"artist_b, artist_e",night,fast,low,high,0.1,0.45,medium,medium,medium
user_213,success,"acoustic, indie, ballad, rnb",artist_p,,medium,high,high,0.6,0.22,low,high,high
user_214,success,"acoustic, rnb, pop",,"soft, calm",medium,low,high,0.51,0.4,high,high,low
user_215,success,"dance, pop","artist_l, artist_e, artist_i","bright, soft",fast,low,medium,0.58,0.69,low,medium,medium
user_216,success,,,bright,fast,medium,high,0.59,0.39,low,high,medium
user_217,success,"indie, ballad",,,medium,low,low,0.06,0.96,low,low,high
user_218,success,"acoustic, pop","artist_t, artist_p",,slow,medium,low,0.85,0.53,low,high,high
user_219,success,"ballad, rnb, indie, dance",,"night, bright",fast,high,high,0.81,0.39,low,high,high
user_220,success,"dance, pop, rnb, indie",artist_e,,medium,low,low,0.78,1,medium,medium,medium
user_221,success,"ballad, indie, rnb, acoustic",artist_r,"bright, night, calm",medium,high,medium,0.91,0.61,low,low,low
user_222,success,rnb,"artist_r, artist_d, artist_u","bright, calm",medium,high,medium,0.41,0.86,high,low,medium
user_223,success,"dance, rnb, acoustic, indie","artist_e, artist_z",,fast,low,medium,0.51,0.01,medium,medium,high
user_224,success,"acoustic, dance","artist_j, artist_s, artist_i",night,medium,high,high,0.05,0.45,medium,high,medium
user_225,success,"indie, dance, ballad, acoustic",artist_d,"calm, energetic",medium,medium,low,0.62,0.99,medium,low,high
user_226,success,"ballad, acoustic, pop, indie",,"calm, bright",fast,high,high,0.89,0.55,high,high,low
user_227,success,"ballad, pop, dance","artist_n, artist_a",energetic,fast,low,high,0.48,0.96,medium,low,low
user_228,success,,,"soft, night",medium,medium,low,0.08,0.38,low,high,medium
user_229,success,"rnb, pop, acoustic, ballad",artist_c,"night, energetic, bright",slow,low,medium,0.05,0.29,low,low,low
user_230,success,"acoustic, ballad","artist_r, artist_z",,fast,high,high,0.69,0.01,medium,low,high
user_231,success,acoustic,"artist_x, artist_d, artist_r","soft, calm, energetic",fast,low,low,0.41,0.27,high,medium,high
user_232,success,rnb,"artist_t, artist_r",,medium,medium,medium,0.42,0.24,medium,medium,low
user_233,success,"dance, rnb, acoustic","artist_t, artist_i, artist_a","calm, soft, night",medium,medium,high,0.63,0.8,high,high,low
user_234,success,rnb,,energetic,slow,high,low,0.38,0.94,medium,medium,low
user_235,success,"indie, ballad","artist_n, artist_o, artist_h","bright, soft",fast,medium,high,0.51,0.94,medium,high,low
user_236,success,"rnb, indie",artist_e,night,fast,low,high,0.38,0.6,medium,high,high
user_237,success,"dance, pop",artist_p,"soft, calm, night",fast,medium,medium,0.52,0.43,medium,high,high
user_238,success,"acoustic, dance, indie","artist_m, artist_l, artist_f","bright, soft",fast,medium,low,0.28,0.96,low,high,high
user_239,success,"dance, ballad, rnb","artist_k, artist_d, artist_m",energetic,slow,high,high,0.34,0.16,high,low,low
user_240,success,"rnb, indie","artist_b, artist_g, artist_v",,fast,high,high,0.4,0.8,low,low,high
user_241,success,"rnb, dance, indie",,"energetic, night",slow,medium,high,0.02,0.72,low,high,low
user_242,success,"ballad, rnb, pop",,"soft, night",fast,medium,high,0.29,0.76,medium,high,high
user_243,success,"acoustic, indie",artist_w,"calm, soft",fast,low,medium,0.85,0.14,high,low,low
user_244,success,,artist_e,bright,fast,low,high,0.62,0.34,high,medium,high
user_245,success,ballad,"artist_e, artist_w",bright,fast,high,low,0.92,0.13,low,high,low
user_246,success,dance,"artist_k, artist_w, artist_a","bright, energetic, calm",slow,high,high,0.54,0.48,high,medium,high
user_247,success,,,,slow,medium,high,0.35,0.87,low,high,medium
user_248,success,"indie, dance, rnb, ballad",artist_b,soft,fast,medium,high,0.08,0.52,high,medium,high
user_249,success,pop,,calm,medium,high,high,0.85,0.05,medium,medium,low
user_250,success,"ballad, dance, rnb, acoustic","artist_g, artist_l","night, calm, energetic",slow,high,medium,0.54,0.73,high,low,low
user_251,success,,"artist_k, artist_s, artist_d","energetic, soft",fast,high,medium,0.67,0.6,low,low,high
user_252,success,"pop, acoustic",artist_t,"calm, soft",fast,medium,medium,0.97,0.47,medium,high,low
user_253,success,"dance, indie",,night,slow,medium,medium,0.68,0.75,high,high,high
user_254,success,rnb,"artist_y, artist_m, artist_u",calm,slow,high,high,0.28,0.42,medium,high,medium
user_255,success,"indie, pop","artist_g, artist_x",,slow,low,medium,0.02,0.31,low,medium,high
user_256,success,"rnb, pop, indie, dance",,bright,medium,low,low,0.51,0.04,low,high,low
user_257,success,indie,"artist_f, artist_l",bright,slow,high,high,0.19,0.08,low,medium,low
user_258,success,"rnb, acoustic, dance, ballad",,bright,fast,medium,medium,0.71,0.47,low,medium,high
user_259,success,"rnb, ballad, dance, acoustic","artist_r, artist_t",bright,slow,low,low,0.71,0.86,medium,high,low
user_260,success,,"artist_r, artist_k",bright,fast,low,medium,0.14,0.02,low,high,low
user_261,success,,,"energetic, bright",medium,low,low,0.13,0.04,low,high,low
user_262,success,,"artist_m, artist_l, artist_q","night, energetic",medium,low,high,0.09,0.1,low,low,high
user_263,success,"indie, pop, ballad, dance","artist_q, artist_n","soft, energetic",slow,medium,low,0.21,0.75,low,low,medium
user_264,success,"pop, indie",artist_o,,medium,medium,medium,0.47,0.64,high,high,medium
user_265,success,"dance, ballad","artist_t, artist_v","energetic, calm",fast,high,high,0.04,0.57,low,medium,low
user_266,success,,"artist_e, artist_o, artist_x","bright, night",fast,low,medium,0.82,0.98,high,low,low
user_267,success,"rnb, pop, ballad",artist_g,"soft, energetic, bright",slow,high,high,0.01,0.68,high,medium,high
user_268,success,ballad,,calm,slow,low,high,0.61,0.79,medium,medium,low
user_269,success,"acoustic, dance, ballad",,"bright, night",slow,low,low,0.51,0.35,high,medium,medium
user_270,success,"ballad, acoustic, dance, pop",artist_y,,medium,high,high,0.03,0.49,high,low,medium
user_271,success,,artist_f,"energetic, bright",fast,low,high,0.76,0.71,high,high,low
user_272,success,"rnb, ballad",,"night, bright",fast,low,low,0.94,0.41,medium,low,high
user_273,success,,artist_p,soft,medium,medium,low,0.32,0.04,medium,high,low
user_274,success,"rnb, ballad, dance, indie",,soft,fast,medium,high,0.82,0.34,low,medium,high
user_275,success,,"artist_t, artist_h, artist_l","night, bright, calm",slow,medium,low,0.59,0.71,high,medium,high
user_276,success,pop,"artist_l, artist_g, artist_j",calm,medium,medium,medium,0.24,0.93,high,medium,high
user_277,success,"dance, acoustic, ballad","artist_q, artist_w","soft, calm",fast,low,medium,0.48,0.62,high,high,high
